CoreLang Apply/Exact Optimization Stats
=======================================

Candidates: 31

| file | line | shape |
|---|---:|---|
| `CoreLang/theories/Sugar.v` | 314 | `eapply LC_lete with (L := ∅); [exact Hef|].` |
| `CoreLang/theories/Sugar.v` | 443 | `- eapply basic_typing_weaken_insert_tm; [exact Hx | exact Htyped].` |
| `CoreLang/theories/OperationalProps.v` | 369 | `apply steps_R. apply Step_head. apply HS_Op; [exact Hop |].` |
| `CoreLang/theories/OperationalResults.v` | 47 | `intros Hfv. split; apply expr_result_incl_on_refl; exact Hfv.` |
| `CoreLang/theories/StrongNormalization.v` | 246 | `apply body_open_tm; [exact Hbody |].` |
| `CoreLang/theories/StrongNormalization.v` | 415 | `-- apply Step_let; [exact Hstep1|exact Hlc_tlet].` |
| `CoreLang/theories/StrongNormalization.v` | 423 | `-- apply Step_let; [exact Hstep1|exact Hlc_tlet].` |
| `CoreLang/theories/StrongNormalization.v` | 431 | `-- apply Step_let; [exact Hstep1|exact Hlc_tlet].` |
| `CoreLang/theories/StrongNormalization.v` | 439 | `-- apply Step_let; [exact Hstep1|exact Hlc_tlet].` |
| `CoreLang/theories/InstantiationProps.v` | 23 | `apply map_Forall_insert in Hclosed; [exact Hclosed | exact Hfresh].` |
| `CoreLang/theories/InstantiationProps.v` | 75 | `apply map_Forall_insert in Hlc; [exact Hlc | exact Hfresh].` |
| `CoreLang/theories/InstantiationProps.v` | 202 | `{ unfold closed_env in *. apply map_Forall_insert_2; [exact Hvx | exact Hclosed]. }` |
| `CoreLang/theories/InstantiationProps.v` | 350 | `+ eapply basic_typing_subst_tm; [exact Hmsubst | | exact HxΓ].` |
| `CoreLang/theories/InstantiationProps.v` | 1211 | `+ apply IH; [exact Hlc_env' | exact Ha].` |
| `CoreLang/theories/InstantiationProps.v` | 1230 | `apply msubst_lc; [exact Hlc_env |].` |
| `CoreLang/theories/BasicTypingProps.v` | 479 | `eapply basic_typing_env_agree_value; [exact Hty |].` |
| `CoreLang/theories/BasicTypingProps.v` | 490 | `eapply basic_typing_env_agree_tm; [exact Hty |].` |
| `CoreLang/theories/BasicTyping.v` | 99 | `eapply H; [exact Hx | by apply insert_mono].` |
| `CoreLang/theories/BasicTyping.v` | 101 | `eapply H; [exact Hx | by apply insert_mono].` |
| `CoreLang/theories/BasicTyping.v` | 105 | `eapply IH; [exact Hx | by apply insert_mono]` |
| `CoreLang/theories/BasicTyping.v` | 117 | `eapply H; [exact Hx | by apply insert_mono].` |
| `CoreLang/theories/BasicTyping.v` | 119 | `eapply H; [exact Hx | by apply insert_mono].` |
| `CoreLang/theories/BasicTyping.v` | 123 | `eapply IH; [exact Hx | by apply insert_mono]` |
| `CoreLang/theories/BasicTyping.v` | 174 | `(eapply weakening_value; [exact Hv | apply insert_subseteq; apply not_elem_of_dom; set_solver]);` |
| `CoreLang/theories/BasicTyping.v` | 186 | `(eapply weakening_value; [exact Hv | apply insert_subseteq; apply not_elem_of_dom; set_solver]);` |
| `CoreLang/theories/BasicTyping.v` | 199 | `(eapply weakening_value; [exact Hv | apply insert_subseteq; apply not_elem_of_dom; set_solver]);` |
| `CoreLang/theories/BasicTyping.v` | 239 | `(eapply weakening_value; [exact Hv | apply insert_subseteq; apply not_elem_of_dom; set_solver]);` |
| `CoreLang/theories/BasicTyping.v` | 251 | `(eapply weakening_value; [exact Hv | apply insert_subseteq; apply not_elem_of_dom; set_solver]);` |
| `CoreLang/theories/BasicTyping.v` | 264 | `(eapply weakening_value; [exact Hv | apply insert_subseteq; apply not_elem_of_dom; set_solver]);` |
| `CoreLang/theories/BasicTyping.v` | 293 | `eapply weakening_value; [exact Hv | apply map_empty_subseteq].` |
| `CoreLang/theories/BasicTyping.v` | 304 | `eapply weakening_value; [exact Hv | apply map_empty_subseteq].` |
